Year - Qtr,Town,County,Total Sales,Med. Sales Price,Avg. Price,Min. Price,Max. Price
2001-Jan,Ashford,Windham,5,124800,114510.4,61352,164900
2001-Jan,Woodstock,Windham,9,126600,135955.55555555557,77000,245000
2001-Jan,Newington,Hartford,35,136000,136620.0,40000,239900
2001-Jan,West Hartford,Hartford,58,177500,180148.1379310345,31686,800000
2001-Jan,Canton,Hartford,9,189000,191833.33333333335,60000,416000
2001-Jan,Killingly,Windham,19,105000,104178.94736842106,36000,187500
2001-Jan,Plainfield,Windham,11,84900,85745.45454545455,19500,139000
2001-Jan,Pomfret,Windham,5,120900,140380.0,59000,265000
2001-Jan,Lisbon,New London,1,113900,113900.0,113900,113900
2001-Jan,Old Lyme,New London,12,191500,375166.6666666667,50000,2100000
2001-Jan,Sprague,New London,1,80000,80000.0,80000,80000
2001-Jan,Voluntown,New London,3,46500,65166.666666666664,30000,119000
2001-Jan,Waterford,New London,21,132000,135196.7619047619,73000,187169
2001-Jan,New London,New London,14,94000,102335.71428571429,42000,182500
2001-Jan,East Lyme,New London,13,129900,130878.15384615385,18816,255000
2001-Jan,Oxford,New Haven,11,200000,213027.27272727274,65000,385000
2001-Jan,Southbury,New Haven,22,142000,219873.63636363636,50000,985000
2001-Jan,Clinton,Middlesex,13,162000,174607.53846153848,27500,329000
2001-Jan,Cromwell,Middlesex,17,107000,127758.82352941176,56500,240000
2001-Jan,Essex,Middlesex,9,260000,340111.1111111111,158500,650000
2001-Jan,Middletown,Middlesex,38,117500,123495.18421052632,25000,339900
2001-Jan,Deep River,Middlesex,7,114000,124571.42857142857,94000,155000
2001-Jan,Old Saybrook,Middlesex,7,175000,177457.14285714288,89300,249900
2001-Jan,Thomaston,Litchfield,6,125200,121150.0,56500,170000
2001-Jan,Washington,Litchfield,3,295000,313333.3333333333,185000,460000
2001-Jan,Watertown,Litchfield,12,160000,172166.66666666667,15000,295000
2001-Jan,Woodbury,Litchfield,10,168750,167150.0,41000,285000
2001-Jan,South Windsor,Hartford,25,145000,151290.0,58950,340000
2001-Jan,Weston,Fairfield,12,705000,803716.6666666666,285000,2155000
2001-Jan,Brookfield,Fairfield,14,267500,270278.5714285714,93000,539900
2001-Jan,Fairfield,Fairfield,56,330750,414783.5,97500,2225000
2001-Jan,Brooklyn,Windham,5,133000,149400.0,66000,215000
2001-Jan,Thompson,Windham,4,119250,129375.0,79000,200000
2001-Jan,Putnam,Windham,6,93500,105350.0,60100,208000
2001-Jan,Columbia,Tolland,6,275000,273500.0,135000,389000
2001-Jan,Ellington,Tolland,14,144500,151067.85714285714,52000,269900
2001-Jan,Stonington,New London,11,160000,221545.45454545457,50000,874000
2001-Jan,New Britain,Hartford,54,87200,91981.48148148148,8500,450000
2001-Jan,Plainville,Hartford,20,100000,103210.0,25300,192500
2001-Jan,Simsbury,Hartford,26,161250,190338.46153846154,20000,575000
2001-Jan,Southington,Hartford,40,145750,158730.3,40000,375000
2001-Jan,Avon,Hartford,28,275000,297959.10714285718,120000,730000
2001-Jan,Enfield,Hartford,43,112900,111743.81395348837,40000,212100
2001-Jan,Farmington,Hartford,26,156000,184905.53846153848,10000,715000
2001-Jan,Berlin,Hartford,20,193500,212737.5,100000,343000
2001-Jan,Ridgefield,Fairfield,32,488000,587172.625,75000,1999000
2001-Jan,Westport,Fairfield,28,637500,764160.7142857143,280000,3160000
2001-Jan,Wilton,Fairfield,18,582000,715933.3333333334,240000,3100000
2001-Jan,Greenwich,Fairfield,64,564000,1084322.375,125000,5750000
2001-Jan,Bolton,Tolland,4,122500,117575.0,25300,200000
2001-Jan,Hebron,Tolland,9,128500,109377.77777777778,14000,155500
2001-Jan,Stafford,Tolland,6,96900,97583.33333333333,38900,155000
2001-Jan,Tolland,Tolland,13,189000,206723.07692307695,105900,395000
2001-Jan,Vernon,Tolland,21,124900,116647.61904761906,35000,226000
2001-Jan,Willington,Tolland,3,179000,174966.66666666667,115900,230000
2001-Jan,Andover,Tolland,2,240000,240000.0,145000,335000
2001-Jan,Norwich,New London,34,90250,126152.94117647059,25000,950000
2001-Jan,Griswold,New London,8,92000,88787.5,41000,116000
2001-Jan,Groton,New London,26,130750,151642.6923076923,9500,434710
2001-Jan,Ledyard,New London,8,114750,116150.0,70000,183900
2001-Jan,North Stonington,New London,2,466858,466858.0,265000,668716
2001-Jan,North Branford,New Haven,14,99000,123064.28571428571,65000,206000
2001-Jan,North Haven,New Haven,21,202221,216810.52380952383,135000,380000
2001-Jan,Wallingford,New Haven,43,135000,140955.81395348838,8000,315900
2001-Jan,Orange,New Haven,9,255000,240977.77777777779,170000,334900
2001-Jan,Woodbridge,New Haven,9,330000,394388.8888888889,115000,1200000
2001-Jan,Branford,New Haven,36,163500,209381.52777777779,30000,1200000
2001-Jan,Cheshire,New Haven,31,164900,210995.8064516129,67000,990000
2001-Jan,Meriden,New Haven,77,89900,89119.84415584416,5000,237000
2001-Jan,Middlebury,New Haven,7,160000,156985.7142857143,30000,261000
2001-Jan,Milford,New Haven,57,161000,207810.71929824563,18000,925000
2001-Jan,Naugatuck,New Haven,20,74900,102469.05,34000,224900
2001-Jan,Bethany,New Haven,6,307114,319288.0,187500,425000
2001-Jan,New Milford,Litchfield,47,166500,218068.55319148937,50891,1520786
2001-Jan,Manchester,Hartford,70,112750,124287.32857142858,20000,390000
2001-Jan,Rocky Hill,Hartford,15,135000,141789.73333333335,55146,429000
2001-Jan,Wethersfield,Hartford,31,140000,133826.70967741937,33000,235000
2001-Jan,East Hartford,Hartford,41,91900,93979.29268292683,9000,199900
2001-Jan,Glastonbury,Hartford,42,182000,204749.52380952383,10000,500000
2001-Jan,Hartford,Hartford,72,86500,90248.09722222222,5000,395000
2001-Jan,Redding,Fairfield,5,428662,560732.4,319000,880000
2001-Jan,New Canaan,Fairfield,30,1045000,1381178.7333333335,194000,5850000
2001-Jan,Hampton,Windham,1,175000,175000.0,175000,175000
2001-Jan,Coventry,Tolland,14,109000,147117.85714285714,17000,590000
2001-Jan,Mansfield,Tolland,7,89200,72171.42857142857,13000,134900
2001-Jan,Lyme,New London,4,253000,294000.0,25000,645000
2001-Jan,New Haven,New Haven,130,75100,98615.74615384615,7000,698000
2001-Jan,Waterbury,New Haven,74,80000,77187.16216216216,11500,175000
2001-Jan,West Haven,New Haven,66,105000,110438.0303030303,11000,400000
2001-Jan,East Haven,New Haven,39,118500,117606.8717948718,3500,240000
2001-Jan,Guilford,New Haven,29,255000,310731.8620689655,15000,1725000
2001-Jan,Hamden,New Haven,54,131000,144962.07407407408,22000,455000
2001-Jan,Madison,New Haven,33,290000,413103.0303030303,76900,2300000
2001-Jan,Chester,Middlesex,4,207500,231875.0,155000,357500
2001-Jan,Portland,Middlesex,6,111500,131333.33333333335,64500,256000
2001-Jan,Durham,Middlesex,2,235675,235675.0,161450,309900
2001-Jan,Killingworth,Middlesex,3,360000,336833.3333333333,185500,465000
2001-Jan,Middlefield,Middlesex,1,151000,151000.0,151000,151000
2001-Jan,Westbrook,Middlesex,7,182500,247860.14285714288,66200,748000
2001-Jan,Haddam,Middlesex,4,225250,239125.0,189000,317000
2001-Jan,Torrington,Litchfield,40,106950,110974.875,49000,225997
2001-Jan,Litchfield,Litchfield,3,146300,180100.0,127000,267000
2001-Jan,Norfolk,Litchfield,1,165000,165000.0,165000,165000
2001-Jan,Suffield,Hartford,12,156500,170633.33333333335,37000,332000
2001-Jan,Windsor,Hartford,25,145000,152962.0,34900,350000
2001-Jan,Windsor Locks,Hartford,13,76500,82015.38461538461,36500,154900
2001-Jan,Bloomfield,Hartford,2,160250,160250.0,108000,212500
2001-Jan,Trumbull,Fairfield,35,255354,278452.97142857147,120000,574900
2001-Jan,Darien,Fairfield,25,629000,941561.48,300000,3500000
2001-Jan,Windham,Windham,18,95450,97663.88888888889,42000,150000
2001-Jan,Montville,New London,10,123000,123440.0,95000,147000
2001-Jan,Ansonia,New Haven,25,119662,118200.48,30000,208900
2001-Jan,Derby,New Haven,19,126000,123623.68421052632,60000,200000
2001-Jan,Winchester,Litchfield,14,97800,119914.42857142857,36602,300000
2001-Jan,Barkhamsted,Litchfield,2,184000,184000.0,142000,226000
2001-Jan,New Hartford,Litchfield,5,160000,141280.0,27500,225000
2001-Jan,Norwalk,Fairfield,104,249875,319380.3461538461,7150,3400000
2001-Jan,Shelton,Fairfield,44,231200,237218.18181818183,76500,500000
2001-Jan,Stratford,Fairfield,53,150000,156032.5849056604,41200,298000
2001-Jan,Monroe,Fairfield,18,284500,298163.8888888889,95000,595000
2001-Jan,Scotland,Windham,1,335000,335000.0,335000,335000
2001-Jan,Canterbury,Windham,2,271250,271250.0,167500,375000
2001-Jan,Sterling,Windham,2,45500,45500.0,35000,56000
2001-Jan,Salem,New London,2,146000,146000.0,137000,155000
2001-Jan,Seymour,New Haven,22,130000,139094.77272727274,52000,275000
2001-Jan,East Hampton,Middlesex,11,124000,120877.36363636363,27500,220000
2001-Jan,Morris,Litchfield,2,87750,87750.0,50500,125000
2001-Jan,Roxbury,Litchfield,3,557500,741500.0,392000,1275000
2001-Jan,Sharon,Litchfield,4,249000,462000.0,150000,1200000
2001-Jan,Marlborough,Hartford,12,174250,208866.91666666667,131500,352323
2001-Jan,East Windsor,Hartford,11,98900,113559.09090909091,35000,175000
2001-Jan,Granby,Hartford,15,225000,282796.3333333333,70000,1350000
2001-Jan,East Granby,Hartford,1,167500,167500.0,167500,167500
2001-Jan,Burlington,Hartford,6,206250,204000.0,134500,255000
2001-Jan,Hartland,Hartford,2,197500,197500.0,135000,260000
2001-Jan,Bridgeport,Fairfield,149,108250,106601.57718120805,6500,229000
2001-Jan,Easton,Fairfield,10,580000,552025.1,95000,900000
